th,起,止,类型,月数,进行中,沪深300,最优股票组合,最优收益,最优择时,择时收益,r_R01,r_R02,r_R03,r_R04,r_R05,r_R06,r_R07,r_R08,r_R09,r_R10,r_R11,r_R12,r_R13
0.15,2018-01-31,2018-12-31,熊,11,False,-0.2825808836655409,R12,-0.1735253033384172,R01,-0.09877011707051286,-0.09877011707051286,-0.18554735683899437,-0.18196757533759644,-0.1940653264945582,-0.38510017651827655,-0.30135323306147743,-0.34871403741136464,-0.2698368973320757,-0.2787390668303643,-0.23754581328168867,-0.2077642068813612,-0.1735253033384172,-0.18980632038816703
0.15,2018-12-31,2021-01-31,牛,25,False,0.8543255483270387,R13,0.675709843590834,R01,0.25547248316322246,0.25547248316322246,0.21886744134983438,0.2857865469990828,0.26881556673330764,-0.11483415577658529,0.04222566793230653,0.0052286251157975805,0.13169928242958373,0.431107725848644,0.397001167602254,0.28585199899870584,0.23490559940217337,0.675709843590834
0.15,2021-01-31,2022-10-31,熊,21,False,-0.3307997958954366,R10,0.778425853764547,R01,-0.07929346148195748,-0.07929346148195748,-0.11127892201903988,0.6143937823170253,-0.009640006834647719,0.12169146626575444,-0.004475790960545067,-0.050062707556710606,0.030154726256580444,-0.1876139720531047,0.778425853764547,0.18515527473669735,0.007608107206783288,-0.31081187427367374
0.15,2022-10-31,2023-01-31,牛,3,False,0.1818682850705986,R03,0.3133532315462886,R01,0.0,0.0,0.0,0.3133532315462886,0.1118632875815675,0.011844226023002946,0.0654465981189698,0.030604658762010573,0.13630352060310402,0.06797175430661229,0.13976645624167383,0.10580118414377249,0.07814822138641331,-0.12790289973205582
0.15,2023-01-31,2024-01-31,熊,12,False,-0.2104441002733256,R08,0.10739145349424173,R01,-0.04063766579852324,-0.04063766579852324,-0.05325072878367165,-0.2780000390684535,-0.13383108443564162,-0.0724958038538922,0.0953716303408585,-0.1766258827995053,0.10739145349424173,-0.09450816627136416,0.057416688470335764,0.05962672161200233,0.056967821876979574,-0.10005218326545362
0.15,2024-01-31,2026-07-31,牛,30,True,0.535377887963147,R10,1.6904472773096701,R02,0.30408733647537445,0.09313878060108638,0.30408733647537445,0.9041769120382692,0.35486105629692877,-0.0016395658276684433,0.27466322078426986,-0.19974776750472378,0.4894214410558848,0.5761774956550731,1.6904472773096701,0.5791281689210888,0.6916992930635151,0.27299159426678843
0.25,2014-01-02,2014-03-31,熊,3,False,-0.07718496776047279,R05,0.15734266344832903,R01,0.0,0.0,0.0,-0.048929900613886246,-0.0702238195146494,0.15734266344832903,-0.002404336988093836,0.020313556310157965,0.05387308755526976,0.0,0.07542742560984306,0.0,0.0,-0.008520888997789466
0.25,2014-03-31,2015-05-31,牛,14,False,1.2731782898522401,R10,2.211290085872239,R02,1.0476264226107577,1.0236624612067229,1.0476264226107577,1.8449697825120879,0.04150269030222331,1.6203638993639875,1.7387165668023168,0.917084501345822,1.397591209409514,1.2642806382704785,2.211290085872239,2.018537197686713,1.8986632296266537,0.6739011786605393
0.25,2015-05-31,2016-02-29,熊,9,False,-0.42183499552458914,R04,0.037891533971806224,R01,-0.24702689822209134,-0.24702689822209134,-0.3377505373368924,-0.37410250050737304,0.037891533971806224,-0.3450408975353225,-0.35223858095960847,-0.556062839484412,-0.19777288200683207,-0.4071219134729134,-0.22864284996271633,-0.2905947444330481,-0.2798038198978864,-0.2355388219689899
0.25,2016-02-29,2018-01-31,牛,23,False,0.5302220882700086,R08,0.5936854672898644,R01,0.2940775225512724,0.2940775225512724,0.28762532164851207,0.04839247553669224,-0.11029227048857926,-0.1814012096553277,0.3915335921869283,-0.35447268612967253,0.5936854672898644,0.4613913763572186,0.037778649238055406,0.3628444637547772,0.3546874357487524,0.15605306464725177
0.25,2018-01-31,2018-12-31,熊,11,False,-0.2825808836655409,R12,-0.1735253033384172,R01,-0.09877011707051286,-0.09877011707051286,-0.18554735683899437,-0.18196757533759644,-0.1940653264945582,-0.38510017651827655,-0.30135323306147743,-0.34871403741136464,-0.2698368973320757,-0.2787390668303643,-0.23754581328168867,-0.2077642068813612,-0.1735253033384172,-0.18980632038816703
0.25,2018-12-31,2021-01-31,牛,25,False,0.8543255483270387,R13,0.675709843590834,R01,0.25547248316322246,0.25547248316322246,0.21886744134983438,0.2857865469990828,0.26881556673330764,-0.11483415577658529,0.04222566793230653,0.0052286251157975805,0.13169928242958373,0.431107725848644,0.397001167602254,0.28585199899870584,0.23490559940217337,0.675709843590834
0.25,2021-01-31,2024-01-31,熊,36,False,-0.37553510869253215,R10,1.1433731940346363,R01,-0.11670882609276878,-0.11670882609276878,-0.15860396710693625,0.5308343452622433,-0.046222500591938664,0.05269596111952102,0.16183646072623015,-0.19390867091578734,0.29627748863483894,-0.21439045748108643,1.1433731940346363,0.38868967403204446,0.1482379325594385,-0.4590962947893843
0.25,2024-01-31,2026-07-31,牛,30,True,0.535377887963147,R10,1.6904472773096701,R02,0.30408733647537445,0.09313878060108638,0.30408733647537445,0.9041769120382692,0.35486105629692877,-0.0016395658276684433,0.27466322078426986,-0.19974776750472378,0.4894214410558848,0.5761774956550731,1.6904472773096701,0.5791281689210888,0.6916992930635151,0.27299159426678843
